driver_age,gender,annual_mileage,territory,prior_claims_3yrs,current_claim_count,age_group,total_claims_3yrs,mileage_category
70,F,29515,rural,0,0,60+,0,high
56,M,14746,urban,1,0,41-60,1,medium
50,M,14643,suburban,0,0,41-60,0,medium
36,F,23010,suburban,0,0,26-40,0,high
41,F,26868,rural,0,0,41-60,0,high
30,M,17465,suburban,2,0,26-40,2,medium
63,F,12484,urban,1,0,60+,1,medium
45,F,13871,suburban,0,0,41-60,0,medium
75,M,22715,suburban,1,0,60+,1,high
39,M,23154,suburban,0,0,26-40,0,high
32,F,17025,urban,0,0,26-40,0,medium
60,F,23827,suburban,0,0,41-60,0,high
73,F,11443,urban,0,0,60+,0,medium
38,F,15215,urban,1,0,26-40,1,medium
77,F,18366,urban,0,0,60+,0,medium
49,M,18676,rural,0,0,41-60,0,medium
35,F,11158,urban,0,0,26-40,0,medium
62,F,20615,rural,0,0,60+,0,high
67,F,19334,rural,0,0,60+,0,medium
51,M,20796,suburban,1,0,41-60,1,high
25,M,25622,suburban,0,0,16-25,0,high
56,F,17033,suburban,0,0,41-60,0,medium
78,F,14121,urban,1,0,60+,1,medium
51,F,17412,urban,0,0,41-60,0,medium
23,M,20185,urban,0,0,16-25,0,high
40,M,16889,urban,0,0,26-40,0,medium
45,M,26826,rural,0,0,41-60,0,high
78,M,18173,rural,0,0,60+,0,medium
46,M,20982,suburban,0,0,41-60,0,high
17,F,16089,suburban,1,0,16-25,1,medium
74,F,18051,suburban,0,0,60+,0,medium
20,F,14634,urban,1,0,16-25,1,medium
34,M,15619,urban,1,0,26-40,1,medium
58,M,19710,suburban,0,0,41-60,0,medium
52,F,22211,suburban,0,0,41-60,0,high
47,F,20582,suburban,0,0,41-60,0,high
51,M,17774,rural,0,0,41-60,0,medium
78,M,13138,urban,0,0,60+,0,medium
70,F,24558,rural,0,0,60+,0,high
29,F,22191,rural,1,0,26-40,1,high
29,M,14489,urban,0,0,26-40,0,medium
59,M,8853,suburban,1,0,41-60,1,low
71,M,12600,urban,1,0,60+,1,medium
35,F,20329,suburban,1,0,26-40,1,high
76,M,27761,suburban,1,0,60+,1,high
23,M,12932,suburban,0,0,16-25,0,medium
29,M,26294,rural,1,0,26-40,1,high
47,M,16691,suburban,0,0,41-60,0,medium
43,F,21515,suburban,0,0,41-60,0,high
18,M,17901,urban,1,0,16-25,1,medium
29,M,22027,urban,1,0,26-40,1,high
43,M,32889,rural,1,1,41-60,2,very_high
42,F,31592,rural,0,1,41-60,1,very_high
25,M,20881,suburban,1,0,16-25,1,high
33,F,6111,urban,0,0,26-40,0,low
24,F,11565,urban,3,0,16-25,3,medium
38,M,14482,suburban,0,0,26-40,0,medium
16,F,12951,urban,1,0,16-25,1,medium
37,F,15099,urban,0,0,26-40,0,medium
79,M,21416,suburban,0,0,60+,0,high
73,F,12280,urban,1,0,60+,1,medium
71,M,14231,urban,0,0,60+,0,medium
77,M,12492,urban,1,1,60+,2,medium
57,M,15083,suburban,0,0,41-60,0,medium
47,M,14918,urban,1,0,41-60,1,medium
22,M,11924,suburban,1,0,16-25,1,medium
46,M,25050,rural,0,0,41-60,0,high
78,M,16329,urban,0,0,60+,0,medium
77,M,15510,suburban,1,0,60+,1,medium
52,F,20961,urban,0,0,41-60,0,high
55,M,13377,urban,0,0,41-60,0,medium
75,M,19226,rural,1,1,60+,2,medium
18,F,11951,urban,0,0,16-25,0,medium
44,M,20128,suburban,1,0,41-60,1,high
45,F,16723,suburban,0,0,41-60,0,medium
18,M,23555,rural,1,0,16-25,1,high
61,M,19139,urban,0,0,60+,0,medium
70,F,26254,suburban,1,0,60+,1,high
49,M,15168,urban,0,0,41-60,0,medium
42,M,11690,urban,0,0,41-60,0,medium
41,M,6825,suburban,2,0,41-60,2,low
45,F,19746,urban,1,0,41-60,1,medium
50,M,9667,urban,0,0,41-60,0,low
54,F,18767,suburban,0,0,41-60,0,medium
51,M,6092,urban,1,0,41-60,1,low
57,F,18681,suburban,0,0,41-60,0,medium
26,F,14417,urban,0,0,26-40,0,medium
35,F,14181,urban,0,0,26-40,0,medium
61,F,8358,urban,0,0,60+,0,low
17,F,28875,suburban,1,0,16-25,1,high
26,M,18005,urban,1,0,26-40,1,medium
54,F,17630,suburban,0,0,41-60,0,medium
47,F,10348,urban,0,0,41-60,0,medium
42,F,15901,urban,0,0,41-60,0,medium
49,M,17297,urban,0,0,41-60,0,medium
40,F,18218,suburban,0,0,26-40,0,medium
47,M,12584,urban,1,0,41-60,1,medium
48,M,11717,urban,1,1,41-60,2,medium
44,F,8957,urban,0,0,41-60,0,low
61,M,15241,urban,1,0,60+,1,medium
26,M,20923,rural,0,0,26-40,0,high
69,M,12895,suburban,0,1,60+,1,medium
78,F,11347,urban,2,0,60+,2,medium
30,F,10714,urban,1,1,26-40,2,medium
67,M,23889,suburban,1,0,60+,1,high
70,M,17480,urban,1,0,60+,1,medium
40,M,17691,urban,0,0,26-40,0,medium
35,M,18416,suburban,0,1,26-40,1,medium
36,F,17124,suburban,1,0,26-40,1,medium
73,F,13478,urban,0,0,60+,0,medium
33,F,18527,urban,0,0,26-40,0,medium
23,M,20736,rural,1,0,16-25,1,high
67,M,19912,urban,1,0,60+,1,medium
28,M,18988,urban,0,0,26-40,0,medium
70,F,18200,suburban,1,0,60+,1,medium
70,F,18290,urban,0,1,60+,1,medium
56,F,19378,suburban,0,0,41-60,0,medium
46,F,13021,urban,0,0,41-60,0,medium
73,F,23193,suburban,0,1,60+,1,high
50,F,16592,urban,0,0,41-60,0,medium
20,M,19658,urban,1,2,16-25,3,medium
67,M,16535,urban,1,0,60+,1,medium
34,F,18750,suburban,1,1,26-40,2,medium
70,F,14867,urban,0,0,60+,0,medium
50,F,8142,urban,0,0,41-60,0,low
65,F,15707,suburban,0,0,60+,0,medium
52,F,30189,rural,0,1,41-60,1,very_high
50,M,27361,suburban,0,0,41-60,0,high
46,M,12824,suburban,0,0,41-60,0,medium
33,M,12204,suburban,1,0,26-40,1,medium
31,M,19998,urban,0,0,26-40,0,medium
61,M,11707,urban,0,0,60+,0,medium
75,M,22457,suburban,0,0,60+,0,high
58,F,21158,rural,0,0,41-60,0,high
72,F,19038,suburban,0,0,60+,0,medium
42,M,21413,suburban,2,0,41-60,2,high
23,M,11963,suburban,0,0,16-25,0,medium
63,M,19329,suburban,0,1,60+,1,medium
73,F,21048,suburban,1,0,60+,1,high
24,F,11938,suburban,0,0,16-25,0,medium
47,M,11262,suburban,0,0,41-60,0,medium
42,F,29476,rural,2,0,41-60,2,high
45,M,21512,suburban,0,0,41-60,0,high
48,M,16330,urban,1,0,41-60,1,medium
26,M,6950,urban,0,0,26-40,0,low
32,F,18658,rural,0,0,26-40,0,medium
22,F,20582,suburban,0,0,16-25,0,high
39,M,12502,suburban,0,0,26-40,0,medium
58,F,19083,urban,0,0,41-60,0,medium
37,M,15999,suburban,0,0,26-40,0,medium
60,F,17123,suburban,1,0,41-60,1,medium
41,M,13225,urban,0,0,41-60,0,medium
37,F,16443,urban,0,0,26-40,0,medium
56,F,8334,suburban,0,0,41-60,0,low
59,F,12273,urban,1,0,41-60,1,medium
68,F,21270,suburban,0,0,60+,0,high
29,M,14576,urban,1,0,26-40,1,medium
78,M,10199,urban,0,0,60+,0,medium
50,M,11622,suburban,0,1,41-60,1,medium
22,M,15154,suburban,1,0,16-25,1,medium
28,M,11006,urban,0,0,26-40,0,medium
71,F,23369,suburban,0,0,60+,0,high
98,M,16096,urban,1,0,60+,1,medium
75,F,15206,urban,0,0,60+,0,medium
52,F,12984,urban,0,1,41-60,1,medium
65,F,22794,urban,0,0,60+,0,high
31,F,13692,urban,0,1,26-40,1,medium
65,M,14501,urban,0,0,60+,0,medium
26,F,29035,rural,0,1,26-40,1,high
45,F,20006,suburban,0,0,41-60,0,high
28,M,23901,suburban,0,0,26-40,0,high
44,M,12001,urban,1,0,41-60,1,medium
49,M,13003,suburban,0,0,41-60,0,medium
51,M,23069,urban,0,0,41-60,0,high
18,M,18686,suburban,1,0,16-25,1,medium
40,F,16672,urban,0,0,26-40,0,medium
32,F,7267,suburban,0,0,26-40,0,low
88,M,28238,suburban,0,0,60+,0,high
88,M,13681,urban,0,0,60+,0,medium
56,M,13652,suburban,0,0,41-60,0,medium
33,F,14784,suburban,0,0,26-40,0,medium
32,M,15288,urban,0,0,26-40,0,medium
68,F,9379,suburban,0,0,60+,0,low
47,F,12412,suburban,0,0,41-60,0,medium
61,M,17411,suburban,1,0,60+,1,medium
19,F,18634,suburban,0,0,16-25,0,medium
37,M,18211,urban,0,1,26-40,1,medium
27,F,13559,urban,0,0,26-40,0,medium
58,M,17607,urban,0,0,41-60,0,medium
47,M,30080,rural,0,1,41-60,1,very_high
91,M,23597,suburban,0,0,60+,0,high
69,M,19496,urban,0,0,60+,0,medium
38,F,12444,urban,0,0,26-40,0,medium
34,M,23885,urban,0,0,26-40,0,high
68,F,12977,urban,0,0,60+,0,medium
98,F,16646,suburban,1,0,60+,1,medium
35,M,17887,urban,0,0,26-40,0,medium
69,F,23851,suburban,0,0,60+,0,high
36,F,29809,rural,0,0,26-40,0,high
60,M,28227,rural,0,0,41-60,0,high
58,M,15412,suburban,0,0,41-60,0,medium
40,M,23218,rural,0,0,26-40,0,high
54,M,12106,urban,0,0,41-60,0,medium
26,M,19243,suburban,1,0,26-40,1,medium
16,M,11961,urban,1,0,16-25,1,medium
66,F,25227,suburban,0,0,60+,0,high
37,F,10231,suburban,0,0,26-40,0,medium
21,M,12999,suburban,0,1,16-25,1,medium
39,F,18493,urban,0,1,26-40,1,medium
75,M,16728,suburban,0,0,60+,0,medium
27,F,5953,suburban,0,0,26-40,0,low
71,M,22255,suburban,0,0,60+,0,high
57,F,12073,urban,0,1,41-60,1,medium
62,F,14622,urban,0,0,60+,0,medium
38,F,9263,urban,0,0,26-40,0,low
73,M,21222,suburban,1,0,60+,1,high
42,M,14492,urban,0,0,41-60,0,medium
64,F,16059,suburban,0,0,60+,0,medium
46,M,20397,suburban,0,0,41-60,0,high
47,M,11011,suburban,1,0,41-60,1,medium
70,M,24978,suburban,0,0,60+,0,high
26,M,22315,rural,0,0,26-40,0,high
62,F,12973,urban,0,0,60+,0,medium
30,M,17808,urban,0,0,26-40,0,medium
19,M,18262,urban,1,0,16-25,1,medium
55,M,23693,urban,1,0,41-60,1,high
61,M,14440,urban,0,1,60+,1,medium
37,F,13507,suburban,0,0,26-40,0,medium
23,F,13668,urban,1,0,16-25,1,medium
76,F,18436,urban,0,0,60+,0,medium
24,F,16649,urban,0,0,16-25,0,medium
60,M,11836,urban,0,0,41-60,0,medium
31,F,11748,urban,0,0,26-40,0,medium
79,F,22566,rural,3,0,60+,3,high
16,F,22092,rural,0,0,16-25,0,high
37,M,12380,suburban,1,0,26-40,1,medium
35,M,16983,suburban,2,0,26-40,2,medium
72,F,17200,suburban,0,0,60+,0,medium
60,M,27939,rural,0,0,41-60,0,high
21,F,16839,suburban,0,1,16-25,1,medium
45,M,21230,suburban,0,0,41-60,0,high
19,F,13013,urban,0,0,16-25,0,medium
46,F,15136,suburban,0,0,41-60,0,medium
61,F,14523,urban,0,0,60+,0,medium
78,F,18136,urban,1,0,60+,1,medium
66,F,14021,rural,0,0,60+,0,medium
69,F,21527,urban,0,0,60+,0,high
40,M,12624,urban,2,0,26-40,2,medium
22,M,29676,suburban,0,0,16-25,0,high
69,F,13997,suburban,1,0,60+,1,medium
58,M,15516,urban,1,0,41-60,1,medium
88,F,8902,urban,0,0,60+,0,low
69,M,10529,urban,1,1,60+,2,medium
62,F,12277,suburban,0,1,60+,1,medium
25,M,8989,urban,0,0,16-25,0,low
46,M,13880,urban,2,0,41-60,2,medium
30,M,15740,suburban,0,0,26-40,0,medium
41,F,16728,suburban,0,0,41-60,0,medium
78,M,17392,suburban,0,0,60+,0,medium
67,F,23933,suburban,0,0,60+,0,high
62,M,15175,urban,0,0,60+,0,medium
89,F,16875,urban,0,0,60+,0,medium
40,F,16288,suburban,0,0,26-40,0,medium
43,M,22522,rural,1,0,41-60,1,high
47,M,20487,suburban,0,0,41-60,0,high
62,M,14735,suburban,0,1,60+,1,medium
25,M,15652,urban,0,1,16-25,1,medium
63,F,11742,urban,1,0,60+,1,medium
66,M,27757,suburban,0,0,60+,0,high
62,F,26052,urban,0,0,60+,0,high
73,F,11248,urban,0,0,60+,0,medium
19,F,14691,suburban,1,0,16-25,1,medium
16,F,15682,rural,0,0,16-25,0,medium
24,M,17507,rural,0,0,16-25,0,medium
53,F,16670,suburban,0,0,41-60,0,medium
49,M,17245,urban,0,0,41-60,0,medium
47,M,17534,urban,0,0,41-60,0,medium
29,M,15343,urban,1,0,26-40,1,medium
73,F,24059,suburban,1,0,60+,1,high
50,M,10133,urban,0,0,41-60,0,medium
54,F,13695,urban,0,0,41-60,0,medium
24,M,39410,rural,1,0,16-25,1,very_high
36,F,11815,urban,0,0,26-40,0,medium
54,M,14355,urban,0,0,41-60,0,medium
18,M,10856,suburban,0,0,16-25,0,medium
69,M,21804,suburban,1,0,60+,1,high
76,M,18967,suburban,0,0,60+,0,medium
25,M,13232,urban,0,0,16-25,0,medium
33,M,19873,rural,0,0,26-40,0,medium
48,F,8503,urban,0,0,41-60,0,low
50,F,12575,urban,0,0,41-60,0,medium
88,F,17200,urban,0,0,60+,0,medium
30,M,15552,urban,0,0,26-40,0,medium
32,F,17693,urban,0,0,26-40,0,medium
40,M,15817,urban,0,0,26-40,0,medium
23,F,25241,suburban,0,0,16-25,0,high
75,F,11556,suburban,0,0,60+,0,medium
40,F,29751,urban,0,0,26-40,0,high
55,M,16190,urban,1,0,41-60,1,medium
32,F,22902,rural,0,0,26-40,0,high
54,M,2486,suburban,0,0,41-60,0,low
45,F,31345,rural,1,0,41-60,1,very_high
70,F,11430,urban,0,0,60+,0,medium
20,F,17218,urban,2,0,16-25,2,medium
88,M,21184,rural,0,0,60+,0,high
70,F,12002,urban,0,1,60+,1,medium
75,M,8685,urban,1,0,60+,1,low
30,M,18308,urban,0,0,26-40,0,medium
74,M,32080,rural,0,0,60+,0,very_high
32,M,23189,rural,0,0,26-40,0,high
19,F,14445,urban,0,0,16-25,0,medium
58,F,11572,urban,1,0,41-60,1,medium
75,F,10414,urban,0,0,60+,0,medium
42,M,22695,urban,3,0,41-60,3,high
31,F,13483,rural,0,0,26-40,0,medium
34,F,18927,urban,0,0,26-40,0,medium
16,F,16358,urban,1,0,16-25,1,medium
26,M,16761,urban,0,0,26-40,0,medium
45,F,18762,suburban,0,0,41-60,0,medium
72,F,16576,suburban,1,0,60+,1,medium
17,M,17727,urban,2,0,16-25,2,medium
17,M,18749,suburban,0,0,16-25,0,medium
40,F,20580,suburban,0,0,26-40,0,high
48,F,12444,suburban,0,0,41-60,0,medium
35,M,26593,suburban,0,1,26-40,1,high
36,M,8912,urban,0,0,26-40,0,low
65,M,18897,rural,0,0,60+,0,medium
36,F,19434,suburban,0,0,26-40,0,medium
66,M,11920,urban,0,0,60+,0,medium
61,M,14043,urban,1,0,60+,1,medium
30,M,16738,urban,0,0,26-40,0,medium
35,M,19182,urban,1,0,26-40,1,medium
36,M,25269,suburban,2,0,26-40,2,high
35,M,12894,urban,0,0,26-40,0,medium
71,M,17529,suburban,0,0,60+,0,medium
24,F,19219,urban,2,0,16-25,2,medium
97,M,13750,urban,0,0,60+,0,medium
65,M,16695,urban,0,0,60+,0,medium
53,F,19139,urban,0,0,41-60,0,medium
46,F,22691,suburban,0,0,41-60,0,high
27,F,22502,rural,0,0,26-40,0,high
34,M,23012,rural,0,1,26-40,1,high
32,M,15927,urban,0,0,26-40,0,medium
35,M,17704,urban,0,1,26-40,1,medium
89,M,11341,urban,0,0,60+,0,medium
34,F,14916,suburban,0,0,26-40,0,medium
69,F,29559,rural,0,0,60+,0,high
78,M,20497,suburban,0,0,60+,0,high
22,F,12574,urban,0,0,16-25,0,medium
63,M,14866,urban,2,0,60+,2,medium
35,M,16498,urban,0,0,26-40,0,medium
51,M,12818,urban,1,0,41-60,1,medium
39,F,21041,urban,0,0,26-40,0,high
36,M,17671,urban,1,0,26-40,1,medium
57,M,8550,urban,0,0,41-60,0,low
31,M,23846,suburban,0,0,26-40,0,high
77,F,19122,urban,1,0,60+,1,medium
97,F,15346,rural,0,0,60+,0,medium
19,F,16061,rural,1,0,16-25,1,medium
67,M,18950,urban,1,0,60+,1,medium
49,F,18374,urban,0,0,41-60,0,medium
16,F,19718,suburban,0,0,16-25,0,medium
19,M,21132,suburban,1,0,16-25,1,high
25,M,19148,urban,0,0,16-25,0,medium
30,M,18138,urban,0,0,26-40,0,medium
78,F,19171,suburban,0,0,60+,0,medium
22,M,21729,rural,0,1,16-25,1,high
71,M,22073,suburban,0,0,60+,0,high
40,F,17668,urban,0,0,26-40,0,medium
58,F,21884,rural,0,0,41-60,0,high
25,F,18011,suburban,0,0,16-25,0,medium
71,M,18181,urban,0,0,60+,0,medium
90,M,28987,suburban,0,0,60+,0,high
52,M,21937,suburban,0,0,41-60,0,high
39,F,17089,rural,0,0,26-40,0,medium
37,F,22156,suburban,0,0,26-40,0,high
50,M,22395,rural,0,0,41-60,0,high
18,F,12577,suburban,0,0,16-25,0,medium
18,F,15755,urban,1,0,16-25,1,medium
33,M,20281,rural,0,0,26-40,0,high
38,F,22498,suburban,0,0,26-40,0,high
71,F,8763,urban,0,0,60+,0,low
22,F,8857,suburban,0,0,16-25,0,low
77,F,18402,urban,2,0,60+,2,medium
61,F,8603,urban,0,0,60+,0,low
76,F,19727,suburban,0,0,60+,0,medium
63,F,34614,rural,1,0,60+,1,very_high
31,F,13375,suburban,1,0,26-40,1,medium
20,F,19112,suburban,0,0,16-25,0,medium
69,F,9914,urban,1,0,60+,1,low
66,F,17285,suburban,0,0,60+,0,medium
73,M,13205,suburban,0,0,60+,0,medium
76,M,11242,urban,0,0,60+,0,medium
77,M,14799,suburban,1,0,60+,1,medium
71,M,21566,urban,0,0,60+,0,high
36,F,20681,suburban,0,0,26-40,0,high
47,F,13401,urban,0,0,41-60,0,medium
53,F,20612,urban,0,0,41-60,0,high
36,F,20419,rural,0,0,26-40,0,high
65,F,14766,urban,0,0,60+,0,medium
48,F,8353,urban,0,0,41-60,0,low
62,F,24854,rural,0,0,60+,0,high
54,F,11351,urban,0,0,41-60,0,medium
62,M,22832,suburban,0,0,60+,0,high
77,M,7586,urban,1,0,60+,1,low
44,M,21702,suburban,0,0,41-60,0,high
23,F,8347,urban,0,1,16-25,1,low
59,F,19458,suburban,0,1,41-60,1,medium
31,M,17161,rural,0,0,26-40,0,medium
98,M,15896,suburban,1,1,60+,2,medium
33,M,10838,rural,0,0,26-40,0,medium
41,F,20721,suburban,0,0,41-60,0,high
54,F,20600,urban,0,0,41-60,0,high
21,M,13379,urban,0,0,16-25,0,medium
39,F,5773,urban,0,0,26-40,0,low
49,M,19373,suburban,1,0,41-60,1,medium
54,M,11978,suburban,1,0,41-60,1,medium
41,F,8487,urban,2,0,41-60,2,low
39,F,18691,suburban,0,0,26-40,0,medium
79,F,13847,urban,1,0,60+,1,medium
46,F,31198,rural,0,0,41-60,0,very_high
32,M,9020,urban,1,0,26-40,1,low
51,F,12927,urban,0,0,41-60,0,medium
36,M,18308,urban,0,1,26-40,1,medium
45,M,17900,suburban,0,0,41-60,0,medium
66,F,18488,urban,1,0,60+,1,medium
43,M,14763,suburban,0,0,41-60,0,medium
75,F,16069,suburban,1,0,60+,1,medium
62,F,18437,suburban,0,0,60+,0,medium
47,M,24467,urban,1,0,41-60,1,high
21,M,16982,suburban,0,1,16-25,1,medium
42,M,13796,suburban,0,0,41-60,0,medium
49,M,16650,suburban,0,0,41-60,0,medium
47,F,25790,suburban,0,0,41-60,0,high
69,M,14152,urban,2,0,60+,2,medium
28,F,13847,urban,0,0,26-40,0,medium
78,F,11429,urban,0,0,60+,0,medium
29,M,20007,urban,0,0,26-40,0,high
35,F,20247,suburban,0,0,26-40,0,high
28,M,23020,rural,0,0,26-40,0,high
40,M,17211,suburban,0,0,26-40,0,medium
38,F,17672,urban,1,0,26-40,1,medium
44,M,27111,suburban,1,0,41-60,1,high
47,M,14072,suburban,0,0,41-60,0,medium
39,F,10246,suburban,1,0,26-40,1,medium
39,M,11698,suburban,1,0,26-40,1,medium
62,F,20088,rural,0,0,60+,0,high
78,M,13857,urban,0,0,60+,0,medium
97,F,17429,rural,1,0,60+,1,medium
50,F,12153,urban,1,0,41-60,1,medium
28,M,11499,urban,0,0,26-40,0,medium
66,F,7117,suburban,0,0,60+,0,low
29,F,24394,rural,0,0,26-40,0,high
26,M,14052,urban,1,1,26-40,2,medium
32,M,22210,rural,1,0,26-40,1,high
62,F,18338,urban,0,1,60+,1,medium
19,F,18932,suburban,0,0,16-25,0,medium
54,M,9651,urban,0,0,41-60,0,low
54,M,16896,suburban,0,0,41-60,0,medium
48,M,27151,rural,1,0,41-60,1,high
61,F,23630,rural,0,0,60+,0,high
16,F,18487,suburban,0,0,16-25,0,medium
45,M,24075,suburban,1,0,41-60,1,high
36,M,18335,suburban,0,0,26-40,0,medium
82,F,24723,suburban,0,0,60+,0,high
55,M,8645,suburban,0,0,41-60,0,low
50,M,24364,rural,0,0,41-60,0,high
50,F,17166,suburban,0,1,41-60,1,medium
35,M,21527,suburban,1,0,26-40,1,high
60,M,26363,suburban,1,0,41-60,1,high
45,F,23356,suburban,0,1,41-60,1,high
58,F,25067,rural,0,1,41-60,1,high
57,F,20282,urban,0,0,41-60,0,high
32,M,17981,suburban,0,0,26-40,0,medium
35,M,19487,suburban,0,0,26-40,0,medium
54,F,17942,urban,0,0,41-60,0,medium
99,F,24609,rural,0,0,60+,0,high
36,M,23249,suburban,1,0,26-40,1,high
50,M,13814,urban,0,0,41-60,0,medium
52,F,19317,suburban,0,0,41-60,0,medium
74,M,19862,urban,0,0,60+,0,medium
57,M,14549,urban,0,0,41-60,0,medium
35,F,21219,urban,2,0,26-40,2,high
93,M,16542,urban,0,0,60+,0,medium
38,M,20167,suburban,0,0,26-40,0,high
52,F,21359,urban,0,0,41-60,0,high
21,F,25537,suburban,1,0,16-25,1,high
47,F,13940,suburban,0,1,41-60,1,medium
50,M,21384,suburban,0,0,41-60,0,high
45,M,23567,suburban,0,0,41-60,0,high
64,M,14544,suburban,2,0,60+,2,medium
20,M,15750,urban,1,0,16-25,1,medium
38,M,24165,suburban,1,0,26-40,1,high
44,F,20585,rural,2,0,41-60,2,high
66,M,14937,urban,1,0,60+,1,medium
26,F,18920,suburban,1,0,26-40,1,medium
64,F,13460,suburban,0,0,60+,0,medium
28,F,18448,rural,0,0,26-40,0,medium
73,F,15159,urban,0,0,60+,0,medium
45,M,5356,urban,0,0,41-60,0,low
22,F,21295,rural,1,0,16-25,1,high
41,F,23024,rural,0,0,41-60,0,high
49,M,20550,urban,1,0,41-60,1,high
65,F,12154,urban,0,0,60+,0,medium
58,M,21191,suburban,0,0,41-60,0,high
29,M,20112,suburban,0,0,26-40,0,high
49,F,13522,urban,0,0,41-60,0,medium
70,M,12857,urban,0,0,60+,0,medium
50,F,16679,urban,0,0,41-60,0,medium
45,M,19162,suburban,0,0,41-60,0,medium
33,F,17166,suburban,0,0,26-40,0,medium
44,F,21633,suburban,1,0,41-60,1,high
70,M,17133,suburban,0,1,60+,1,medium
47,F,22680,suburban,0,0,41-60,0,high
69,M,21999,suburban,0,1,60+,1,high
22,M,16699,urban,0,0,16-25,0,medium
28,M,30137,rural,1,0,26-40,1,very_high
72,M,12219,urban,1,0,60+,1,medium
65,M,23338,rural,0,0,60+,0,high
58,M,11297,rural,0,0,41-60,0,medium
91,F,21737,suburban,1,0,60+,1,high
18,M,15990,suburban,0,0,16-25,0,medium
40,F,17164,suburban,1,0,26-40,1,medium
28,M,15293,suburban,1,0,26-40,1,medium
48,F,17631,rural,1,1,41-60,2,medium
56,F,14622,suburban,0,0,41-60,0,medium
46,M,21306,rural,2,0,41-60,2,high
27,M,25638,rural,0,0,26-40,0,high
78,F,11963,urban,0,0,60+,0,medium
63,F,16779,suburban,1,0,60+,1,medium
34,M,13688,urban,0,0,26-40,0,medium
21,F,20121,suburban,1,1,16-25,2,high
47,F,10609,urban,1,0,41-60,1,medium
42,F,19894,suburban,0,0,41-60,0,medium
31,M,21204,suburban,0,0,26-40,0,high
19,M,12878,urban,0,0,16-25,0,medium
87,M,17537,suburban,0,0,60+,0,medium
22,M,22470,suburban,1,0,16-25,1,high
35,F,8191,urban,0,0,26-40,0,low
41,F,14468,urban,0,0,41-60,0,medium
36,F,9679,suburban,0,0,26-40,0,low
23,F,21145,urban,1,1,16-25,2,high
64,F,17382,urban,0,0,60+,0,medium
53,F,9776,urban,0,0,41-60,0,low
78,F,24326,suburban,0,0,60+,0,high
21,M,15110,suburban,0,0,16-25,0,medium
56,M,24081,urban,1,0,41-60,1,high
21,F,10924,urban,0,0,16-25,0,medium
61,M,15223,suburban,2,0,60+,2,medium
32,M,11976,urban,1,0,26-40,1,medium
88,F,18185,urban,1,0,60+,1,medium
61,M,22515,suburban,1,0,60+,1,high
35,F,30938,rural,0,0,26-40,0,very_high
32,F,27084,rural,0,0,26-40,0,high
77,M,7932,urban,0,0,60+,0,low
30,F,16613,urban,0,0,26-40,0,medium
37,F,13403,urban,1,0,26-40,1,medium
41,M,21886,suburban,1,0,41-60,1,high
46,M,16247,urban,0,0,41-60,0,medium
79,F,5308,rural,0,0,60+,0,low
17,F,22146,suburban,1,0,16-25,1,high
70,M,14252,suburban,0,0,60+,0,medium
27,M,16182,urban,0,0,26-40,0,medium
68,F,14305,rural,0,0,60+,0,medium
47,M,4156,urban,0,0,41-60,0,low
39,F,16727,urban,0,0,26-40,0,medium
30,M,22028,rural,0,0,26-40,0,high
71,M,16229,urban,1,0,60+,1,medium
58,M,11681,urban,0,0,41-60,0,medium
49,F,14143,urban,0,0,41-60,0,medium
20,M,9957,urban,1,0,16-25,1,low
26,F,21243,rural,0,0,26-40,0,high
39,M,20616,suburban,0,0,26-40,0,high
68,M,25765,suburban,1,0,60+,1,high
24,M,16036,suburban,1,0,16-25,1,medium
32,F,15298,urban,0,0,26-40,0,medium
16,F,14527,suburban,1,0,16-25,1,medium
30,M,18732,rural,0,0,26-40,0,medium
51,F,17552,urban,0,0,41-60,0,medium
67,M,18466,urban,0,0,60+,0,medium
71,F,6531,suburban,0,0,60+,0,low
76,F,11894,urban,0,1,60+,1,medium
50,M,14860,urban,0,0,41-60,0,medium
29,M,13303,suburban,2,0,26-40,2,medium
19,M,28193,suburban,0,1,16-25,1,high
22,M,15584,suburban,2,0,16-25,2,medium
69,F,9651,urban,0,0,60+,0,low
42,M,17972,urban,2,0,41-60,2,medium
49,F,11070,urban,0,0,41-60,0,medium
33,F,16076,urban,0,0,26-40,0,medium
45,M,15325,urban,1,0,41-60,1,medium
34,M,17365,suburban,1,0,26-40,1,medium
36,F,22398,suburban,0,0,26-40,0,high
60,F,18008,suburban,0,0,41-60,0,medium
56,M,15297,suburban,1,0,41-60,1,medium
38,M,16043,suburban,0,0,26-40,0,medium
30,M,17997,urban,0,0,26-40,0,medium
30,M,21016,urban,1,0,26-40,1,high
77,F,9241,suburban,0,0,60+,0,low
24,F,15988,urban,0,0,16-25,0,medium
95,M,17263,urban,0,0,60+,0,medium
37,F,20420,suburban,1,0,26-40,1,high
23,F,20861,rural,0,0,16-25,0,high
17,M,20381,suburban,0,0,16-25,0,high
22,M,21231,suburban,1,0,16-25,1,high
74,M,11957,rural,1,0,60+,1,medium
17,F,16651,urban,1,1,16-25,2,medium
17,F,14927,suburban,0,0,16-25,0,medium
24,M,18988,rural,0,1,16-25,1,medium
73,F,7722,urban,2,0,60+,2,low
76,M,9448,suburban,0,0,60+,0,low
24,F,22224,rural,0,0,16-25,0,high
